2025/06/26 01:41:04 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:05 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:05 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:05 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:05 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:15 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:15 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:37 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:37 [error] 285#285: *164 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:37 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:37 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:37 [error] 284#284: *161 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:39 [error] 283#283: *158 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:41:39 [error] 285#285: *164 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:41 [error] 304#304: *189 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:41 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:41 [error] 304#304: *189 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:41 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:41 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:41 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:44 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:44 [error] 304#304: *189 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:44 [error] 304#304: *189 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:44 [error] 306#306: *197 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:44 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:44 [error] 304#304: *189 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:42:44 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:43:25 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:43:25 [error] 304#304: *189 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:43:25 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:43:25 [error] 304#304: *189 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:43:25 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:43:25 [error] 305#305: *191 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:00 [error] 325#325: *223 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:00 [error] 326#326: *227 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:05 [error] 326#326: *227 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:05 [error] 327#327: *229 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:08 [error] 327#327: *229 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/site.webmanifest HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:08 [error] 326#326: *227 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:08 [error] 326#326: *227 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
